"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-01",,"60","36"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-02",,"53","45"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-03",,"57","42"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-04",,"64","40"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-05",,"75","50"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-06",,"67","44"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-07",,"64","47"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-08",,"71","52"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-09",,"57","44"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-10",,"61","40"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-11",,"72","51"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-12",,"62","43"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-13",,"51","39"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-14",,"58","45"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-15",,"51","40"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-16",,"67","37"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-17",,"62","42"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-18",,"79","44"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-19",,"65","46"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-20",,"62","43"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-21",,"57","40"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-22",,"65","39"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-23",,"76","43"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-24",,"84","55"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-25",,"59","50"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-26",,"57","48"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-27",,"66","48"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-28",,"63","53"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-29",,"64","57"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-30",,"69","56"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-05-31",,"67","54"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-01",,"68","52"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-02",,"63","53"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-03",,"70","55"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-04",,"72","49"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-05",,"75","53"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-06",,"67","58"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-07",,"63","56"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-08",,"71","54"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-09",,"75","52"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-10",,"80","54"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-12",,"76","63"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-13",,"83","60"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-14",,"69","52"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-15",,"83","49"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-16",,"80","56"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-17",,"70","54"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-18",,"80","57"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","1997-06-19",,"87","58"
